"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%","BABIP"
5,"CJ Abrams",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,1,0,0.000,25.0,25.0,25.0,0.000
28,"Lane Thomas",1,4,4,0,1,0,1,0,0,0,0,0.250,0,0,0,0,0,0,0,0,0,0,0.000,0.250,0.250,0.250,0.500,0.175,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0,0.250
29,"James Wood",1,4,4,0,0,0,0,0,0,0,0,0.000,0,2,0,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0,0,0,0,0,0,0,0.000,25.0,25.0,25.0,0.000
6,"Jesse Winker",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,0,0,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,1.000,1.000,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0,0.333
20,"Keibert Ruiz",1,4,4,0,2,0,1,1,0,0,0,0.500,0,0,0,0,0,0,0,0,0,0,0.000,0.500,0.500,0.750,1.250,0.413,1.000,1.000,0,0,0,0,0,1,0,0.000,75.0,75.0,25.0,0.500
2,"Luis Garcia Jr",1,3,3,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,0,0,1,0,0.000,33.3,33.3,33.3,0.000
18,"Juan Yepez",1,4,4,0,1,0,1,0,0,0,0,0.250,0,0,0,0,0,0,0,0,0,0,0.000,0.250,0.250,0.250,0.500,0.175,1.000,1.000,0,0,0,0,0,1,0,0.000,50.0,50.0,25.0,0.250
38,"Trey Lipscomb",1,3,3,0,1,0,1,0,0,0,0,0.333,0,0,1,1,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.667,0.667,0,0,0,0,0,0,0,0.000,33.3,33.3,0.0,0.500
30,"Jacob Young",1,3,3,0,1,0,1,0,0,0,0,0.333,0,1,0,1,0,0,0,0,0,0,0.000,0.333,0.333,0.333,0.667,0.233,0.667,0.667,0,0,0,0,0,0,0,0.000,66.7,66.7,66.7,0.500
14,"Ildemaro Vargas",1,1,1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,0,0,1,0,1,0,0.000,100.0,100.0,100.0,0.000
43,"Harold Ramirez",1,1,1,0,1,0,1,0,0,0,0,1.000,0,0,0,0,0,0,0,0,0,0,0.000,1.000,1.000,1.000,2.000,0.700,1.000,1.000,0,0,0,0,0,0,0,0.000,100.0,100.0,0.0,1.000
"","TOTALS",1,34,34,0,8,0,7,1,0,0,0,0.235,0,3,1,4,0,0,0,0,0,0,0.000,0.235,0.235,0.265,0.500,0.172,0.882,0.882,0,1,0,1,0,6,0,0.000,47.1,47.1,26.5,0.267
