"#","Name","G","Et","Ef","ERR","PO","A","SBA","CS","DP","TP","PB","PKF","PK","FP"
5,"CJ Abrams",1,1,1,2,3,2,0,0,1,0,0,0,0,0.714
28,"Lane Thomas",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
29,"James Wood",1,0,0,0,5,0,0,0,0,0,0,0,0,1.000
20,"Keibert Ruiz",1,0,0,0,9,0,1,0,0,0,0,0,0,1.000
2,"Luis Garcia Jr",1,0,0,0,3,2,0,0,1,0,0,0,0,1.000
18,"Juan Yepez",1,0,0,0,3,0,0,0,1,0,0,0,0,1.000
38,"Trey Lipscomb",1,0,0,0,0,2,0,0,0,0,0,0,0,1.000
30,"Jacob Young",1,0,0,0,4,0,0,0,0,0,0,0,0,1.000
59,"Jacob Barnes",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
70,"Mitchell Parker",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
60,"Joan Adon",1,0,0,0,0,0,0,0,0,0,0,0,0,0.000
"","TOTALS",1,1,1,2,27,6,1,0,1,0,0,0,0,0.943
