"#","Name","G","PA","AB","R","H","B","1B","2B","3B","HR","RBI","AVG","BB","Kc","Ks","SO","HBP","SB","CS","SCB","SF","SAC","RPA","OBP","OBPE","SLG","OPS","GPA","CT%","CT2%","ROE","FC","CI","GDP","GTP","AB/RSP","H/RSP","BA/RSP","QAB1%","QAB2%","QAB3%","BABIP"
"","Masyn Winn",1,5,5,0,0,0,0,0,0,0,0,0.000,0,1,1,2,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.600,0,0,0,0,0,2,0,0.000,0.0,0.0,0.0,0.000
41,"Alec Burleson",1,5,5,1,2,0,1,0,0,1,3,0.400,0,0,1,1,0,0,0,0,0,0,0.600,0.400,0.400,1.000,1.400,0.430,0.800,0.800,0,1,0,0,0,2,1,0.500,40.0,40.0,40.0,0.333
40,"Willson Contreras",1,5,3,0,0,0,0,0,0,0,0,0.000,1,1,2,3,1,0,0,0,0,0,0.000,0.400,0.400,0.000,0.400,0.180,0.000,0.000,0,0,0,0,0,0,0,0.000,40.0,40.0,40.0,0.000
46,"Paul Goldschmidt",1,5,5,2,2,0,1,0,0,1,1,0.400,0,0,0,0,0,0,0,0,0,0,0.400,0.400,0.600,1.000,1.400,0.430,1.000,1.000,1,0,0,1,0,1,0,0.000,40.0,40.0,20.0,0.250
28,"Nolan Arenado",1,4,4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0,1,0,0,0,0,0,0.000,0.0,0.0,0.0,0.000
33,"Brendan Donovan",1,4,4,0,2,0,1,1,0,0,1,0.500,0,0,0,0,0,0,0,0,0,0,0.250,0.500,0.500,0.750,1.250,0.413,1.000,1.000,0,0,0,0,0,0,0,0.000,50.0,50.0,25.0,0.500
21,"Lars Nootbar",1,4,4,0,1,0,1,0,0,0,0,0.250,0,0,2,2,0,0,0,0,0,0,0.000,0.250,0.250,0.250,0.500,0.175,0.500,0.500,0,0,0,0,0,2,0,0.000,25.0,25.0,0.0,0.500
16,"Nolan Gorman",1,4,4,2,2,0,2,0,0,0,0,0.500,0,0,1,1,0,0,0,0,0,0,0.500,0.500,0.500,0.500,1.000,0.350,0.750,0.750,0,0,0,0,0,0,0,0.000,50.0,50.0,25.0,0.667
63,"Michael Siani",1,4,4,1,2,1,1,0,0,0,0,0.500,0,0,0,0,0,1,0,0,0,0,0.250,0.500,0.500,0.500,1.000,0.350,1.000,1.000,0,0,0,0,0,0,0,0.000,75.0,75.0,25.0,0.500
"","TOTALS",1,40,38,6,11,1,7,1,0,2,5,0.289,1,2,7,9,1,1,0,0,0,0,0.225,0.325,0.350,0.474,0.799,0.265,0.763,0.725,1,2,0,1,0,7,1,0.143,35.0,35.0,20.0,0.333
